,title,price,link
10,STRUCTURED QUERY LANGUAGE (SQL) FOR BEGINNERS  ,450,http://amazon.in//STRUCTURED-QUERY-LANGUAGE-SQL-BEGINNERS/dp/B0D81F2QXG/ref=sr_1_12?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-12
11,Mastering SQL Queries for SAP Business One: Utilize the Power of SQL Queries to Bring Business Intelligence to Your Small to Medium-sized Business  ,"3,467",http://amazon.in//Mastering-SQL-Queries-SAP-Business/dp/1849682364/ref=sr_1_13?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-13
12,"Ultimate Excel with Power Query and ChatGPT: Master MS Excel's Dynamic Lookup Functions, Generative AI, and Power Query to Navigate Data, Solve Complex ... and Optimize Productivity (English Edition)  ",294.,http://amazon.in//Ultimate-Excel-Power-Query-ChatGPT-ebook/dp/B0CPLT6XBH/ref=sr_1_14?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-14
13,STRUCTURED QUERY LANGUAGE (SQL) FOR BEGINNERS  ,450,http://amazon.in//STRUCTURED-QUERY-LANGUAGE-SQL-BEGINNERS/dp/B0D81F2QXG/ref=sr_1_12?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060644&sprefix=lapt%2Caps%2C198&sr=8-12
14,Beginning SQL Queries: From Novice to Professional  ,"4,453",http://amazon.in//Beginning-SQL-Queries-Novice-Professional/dp/1484219546/ref=sr_1_15?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-15
15,Methodology For Handling Astrological Queries: Diverse case studies analyzed through Systems' Approach for Interpreting Horoscopes  ,200,http://amazon.in//Methodology-Handling-Astrological-Queries-Interpreting/dp/8170822254/ref=sr_1_16?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-16
16,Study Set - Category 1 / Class 1 - Round 1 - School Level - Prepare for MARRS Spelling Bee competition exam ... from Spell India ... for pre purchase queries whatsapp 9820354672  ,469,http://amazon.in//Study-Set-Category-competition-9820354672/dp/B076C65TZ4/ref=sr_1_17?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-17
17,Notes and Queries on Anthropology  ,376.,http://amazon.in//Queries-Anthropology-Charles-Hercules-George/dp/8121216494/ref=sr_1_19?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-19
18,Jet Authentic Metal Pendulum Healing Dowsing Metaphysical Spiritual Answers Queries Stress Relief Pain Relief Divination Speech Therapy (Brass Cone chamber Pendulum)  ,449,http://amazon.in//Jet-Authentic-Metaphysical-Spiritual-Divination/dp/B08VRSX2KT/ref=sr_1_20?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-20
19,Teradata Query Performance Tuning: DWHPro's Guide  ,"2,000",http://amazon.in//Teradata-Query-Performance-Tuning-DWHPros-ebook/dp/B08KHP87JB/ref=sr_1_21?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-21
20,Power Query Essentials: A Concise Handbook with Practical Examples  ,0,http://amazon.in//Power-Query-Essentials-Handbook-Practical-ebook/dp/B0DBXH9GCL/ref=sr_1_22?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-22
21,SQL Query Optimization: Improving Speed And Efficiency In Data Analysis  ,449,http://amazon.in//SQL-Query-Optimization-Improving-Efficiency-ebook/dp/B0D36576MC/ref=sr_1_23?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-23
22,"Querying SQL Server: Run T-SQL operations, data extraction, data manipulation, and custom queries to deliver simplified analytics  ",855.,http://amazon.in//Querying-SQL-Server-operations-manipulation/dp/9355512376/ref=sr_1_24?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-24
23,Mastering SQL Queries for SAP Business One: Utilize the Power of SQL Queries to Bring Business Intelligence to Your Small to Medium-sized Business  ,"3,467",http://amazon.in//Mastering-SQL-Queries-SAP-Business/dp/1849682364/ref=sr_1_13?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060644&sprefix=lapt%2Caps%2C198&sr=8-13
24,Structure Query Language (SQL): A Practical Introduction  ,"2,652",http://amazon.in//Structure-Query-Language-SQL-Introduction/dp/1855543575/ref=sr_1_25?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-25
25,"SQL Cookbook: Query Solutions and Techniques for All SQL Users, Second Edition (Grayscale Indian Edition)  ","2,200",http://amazon.in//SQL-Cookbook-Solutions-Techniques-Grayscale/dp/9385889559/ref=sr_1_26?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-26
26,Power Query for Power BI and Excel  ,"5,356",http://amazon.in//Power-Query-BI-Excel/dp/1430266910/ref=sr_1_27?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-27
